index,sample_id,image_path,question,A,B,C,D,answer,specialty,gender,country,question_type,text,prediction,hit,log,split
83,84,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/084.png,A newly diagnosed HIV patient presented with this rash and cough. Which is FALSE?,Patient likely has stage 3 HIV infection,Patient is qualified to start receiving ART,The most objective means of determining the severity of the disease is to measure the viral load,It is not necessary to screen for tuberculosis and treat before commencing ART,D,INFECTIOUS DISEASE,Male,Nigeria,MCQ,A newly diagnosed HIV patient presented with this rash and cough. Which is FALSE?,D,1,Match Log: D. ,none
84,85,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/085.jpg,Which of the following is not a part of a standard precaution practices?,Hand hygiene,Proper disposal of sharps,Biosafety cabinets,Use of personal protectives,C,INFECTIOUS DISEASE,Male,Nigeria,MCQ,Which of the following is not a part of a standard precaution practices?,C,1,Match Log: C. ,none
85,86,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/086.jpg,A 23-year-old sexually active male presented with penile growth with no ulcer. Which of the following is FALSE?,Use of condom is 100% protective,Genital warts is a likely diagnosis,Cryotherapy can be used for treatment,History of multiple sexual partners is important,A,INFECTIOUS DISEASE,Male,Nigeria,MCQ,A 23-year-old sexually active male presented with penile growth with no ulcer. Which of the following is FALSE?,A,1,Match Log: A. ,none
86,87,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/087.jpg,30-year-old woman complained of dry skin with loss of sensation and 4 skin lesions as shown. Which is TRUE about her diagnosis?,Lepromatous leprosy,Tuberculoid leprosy,Mycobacterium tuberculosis is the likely organism,This is classified as multibacillary according to WHO,B,INFECTIOUS DISEASE,Male,Nigeria,MCQ,30-year-old woman complained of dry skin with loss of sensation and 4 skin lesions as shown. Which is TRUE about her diagnosis?,B,1,Match Log: B. ,none
87,88,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/088.jpg,What is the duration of hand washing for infection control as recommended by WHO?,1-5 minutes,5 seconds,20-40 seconds,60 seconds,C,INFECTIOUS DISEASE,Male,Nigeria,MCQ,What is the duration of hand washing for infection control as recommended by WHO?,C,1,Match Log: C. ,none
88,89,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/089.jpg,When is the diagnosis of healthcare associated infection made?,3 days after discharge,14 days after surgery,48 hours after immunization,48 hours after admission into the hospital,D,INFECTIOUS DISEASE,Male,Nigeria,MCQ,When is the diagnosis of healthcare associated infection made?,D,1,Match Log: D. ,none
89,90,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/090.jpg,Which is FALSE concerning pyrexia of unknown origin?,Unexplained fever persistent for 1 week of hospital evaluation,Unexplained fever persistent for 3 outpatient visits,Majority are due to malignancy,Begin with least invasive evaluation to avoid unnecessary harm and cost to the patient,C,INFECTIOUS DISEASE,Male,Nigeria,MCQ,Which is FALSE concerning pyrexia of unknown origin?,B,0,Match Log: B. ,none
90,91,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/091.jpg,25-year-old man with history of IV drug injection who presented with new murmur on examination. Which is FALSE about the diagnosis?,Osler's nodes may be associated,Finger clubbing,Terry's nails,Treatment of the underlying condition may require 4-6 weeks of antibiotic therapy,C,INFECTIOUS DISEASE,Male,Nigeria,MCQ,25-year-old man with history of IV drug injection who presented with new murmur on examination. Which is FALSE about the diagnosis?,D,0,Match Log: D. ,none
91,92,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/092.png,Which is INCORRECT about rational use of antibiotics in treatment of infectious disease?,Right medication,Right dosage,Least cost to patients,None of the above,D,INFECTIOUS DISEASE,Male,Nigeria,MCQ,Which is INCORRECT about rational use of antibiotics in treatment of infectious disease?,D,1,Match Log: D. ,none
92,93,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/093.jpg,28-year-old woman presented with fever and pain with urination of 3 days. Which is TRUE about her diagnosis?,Urinalysis,Urine microscopy and culture,Commonest cause of urinary tract infection is E. coli,All of the above,D,INFECTIOUS DISEASE,Male,Nigeria,MCQ,28-year-old woman presented with fever and pain with urination of 3 days. Which is TRUE about her diagnosis?,D,1,Match Log: D. ,none
93,94,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/094.jpg,"A 45-year-old presented with cough, fever of 5 days. He was confused and has hypotension on examination. Which is TRUE about his chest ray and management.",CURB 65 score of 1 require admission,CURB 65 score of 4 is managed on outpatient basis,Likely diagnosis is community acquired pneumonia,This patient can be treated on outpatient basis,C,INFECTIOUS DISEASE,Male,Nigeria,MCQ,"A 45-year-old presented with cough, fever of 5 days. He was confused and has hypotension on examination. Which is TRUE about his chest ray and management.",A,0,Match Log: A. ,none
94,95,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/095.png,A neonate presented with fever and bilateral eye discharge. Which is TRUE concerning her diagnosis?,It is common with newborns delivered via caesarian section,History of vaginal discharge in the mother,Newborns should receive erythromycin ointment in both eyes after delivery,Chlamydia is not a cause,C,INFECTIOUS DISEASE,Male,Nigeria,MCQ,A neonate presented with fever and bilateral eye discharge. Which is TRUE concerning her diagnosis?,C,1,Match Log: C. ,none
95,96,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/096.jpg,Which is FALSE concerning the disease transmitted by this vector?,Ebola virus,Fever is a common finding,It is primarily by contact with food and household items,Incubation period is from 2-21 days,A,INFECTIOUS DISEASE,Male,Nigeria,MCQ,Which is FALSE concerning the disease transmitted by this vector?,C,0,Match Log: C. ,none
102,103,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/103.jpg,A pregnant lady with PIH was being monitored with bed rest in supine position. Which of the following is a complication of the below representation?,Ascending Aorta syndrome,Superior vena caval syndromes,Supine vena cava syndrome,Descending aorta syndrome,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,A pregnant lady with PIH was being monitored with bed rest in supine position. Which of the following is a complication of the below representation?,C,1,Match Log: C. ,none
103,104,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/104.jpg,Identify the following instrument commonly used in obstetrics,Curved scissors,Mayo Scissors,Episiotomy scissors,Artery forceps,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,Identify the following instrument commonly used in obstetrics,C,1,Match Log: C. ,none
104,105,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/105.png,Identify the grip in the image below.,Second pelvic grip,Fundal grip,Station grip,Pawlik grip,D,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,Identify the grip in the image below.,B,0,Match Log: B. ,none
105,106,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/106.png,Identify this condition shown in the image below.,Dichorionic diamniotic pregnancy,Monochorionic diamniotic pregnancy,Monochorionic monoamniotic pregnancy,Placenta villamentosa,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,Identify this condition shown in the image below.,A,0,Match Log: A. ,none
106,107,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/107.jpg,A 40- year old female patient presented with a history of profuse vaginal discharge. The discharge has a fishy odor. Which of the following best describes the microscopic findings given below.,Epithelial cells with bacteria attatched on cell surface,Neutrophil engulfed bacteria,Bacteria engulfed by macrophages,Long curved beaded bacilli,A,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,A 40- year old female patient presented with a history of profuse vaginal discharge. The discharge has a fishy odor. Which of the following best describes the microscopic findings given below.,D,0,Match Log: D. ,none
107,108,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/108.jpg,Your patient is admitted in the labor ward in preparation for an emergency cesarean section. Identify the procedure being done below.,Amniocentesis,Cardiotocography,Amniotic Fluid index determination,MCA Doppler,B,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,Your patient is admitted in the labor ward in preparation for an emergency cesarean section. Identify the procedure being done below.,C,0,Match Log: C. ,none
108,109,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/109.png,You are presented the image below after your patient above is assessed in the labor ward. What does it show?,Normal,Deceleration followed by acceleration,Deceleration,Acceleration,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,You are presented the image below after your patient above is assessed in the labor ward. What does it show?,B,0,Match Log: B. ,none
109,110,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/110.png,The instrument below is used in.,Vaginal hysterectomy,Fothergill's surgery,Cesarean section,Mac stitch insertion,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,The instrument below is used in.,C,1,Match Log: C. ,none
110,111,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/111.jpg,The following instrument is used for,VIA,VILLI,PAP Smear,High vaginal Swab,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,The following instrument is used for,D,0,Match Log: D. ,none
111,112,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/112.jpg,"A primigravida in her 10th week of gestation presents with spotting. On examination, the uterus corresponds to 12 weeks. TVS was done and it Is given by this     What is the diagnosis?",Missed abortion,Blighted ovum,Hydatidiform mole,Ectopic pregnancy,C,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,"A primigravida in her 10th week of gestation presents with spotting. On examination, the uterus corresponds to 12 weeks. TVS was done and it Is given by this     What is the diagnosis?",C,1,Match Log: C. ,none
112,113,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/113.jpg,What is the probable diagnosis given in the clinical image below?,Cervical carcinoma,Uterocervical prolapse,Uterine Inversion,Fibroid Polyp,B,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,What is the probable diagnosis given in the clinical image below?,D,0,Match Log: D. ,none
113,114,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/114.jpg,Which statement is false regarding late decelerations,Starts after peach of uterine contractions and ends after uterine contraction,"At least 10 beats, 2 tines in a 20 min period above baseline",They are smooth and gradual,Occur due to uteroplacental insufficiency,B,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,Which statement is false regarding late decelerations,B,1,Match Log: B. ,none
114,115,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/115.jpg,"A woman comes with complaints of pain and swelling in the perineal area. She also has complaints of difficulty in walking and sitting. She gives a history of multiple sexual partners. On examination, a tender swelling is seen with redness on the labia, as shown in the image given below. What is the most likely diagnosis?",Bartholin abscess,Chlamydial infection,Herpes infection,Genital TB,A,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,"A woman comes with complaints of pain and swelling in the perineal area. She also has complaints of difficulty in walking and sitting. She gives a history of multiple sexual partners. On examination, a tender swelling is seen with redness on the labia, as shown in the image given below. What is the most likely diagnosis?",A,1,Match Log: A. ,none
115,116,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/116.png,A 55- year old lady comes with AUB. A hysterectomy was performed and the following specimen retrieved.Histology revealed intercalating bundles of smooth muscle cells arranged in a characteristicwholed pattern. What is the diagnosis?,Endometrial Carcinoma,Leiomyoma,Endometrial polyp,Adenomyosis,B,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,A 55- year old lady comes with AUB. A hysterectomy was performed and the following specimen retrieved.Histology revealed intercalating bundles of smooth muscle cells arranged in a characteristicwholed pattern. What is the diagnosis?,B,1,Match Log: B. ,none
116,117,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/117.jpg,Which of the following is an absolute contraindication for the insertion of the device shown in the image below?,Menstruation,PID,Immediately after delivery,Ruptured condom during intercourse,B,OBSTETRICS AND GYNAECOLOGY,Female,Kenya,MCQ,Which of the following is an absolute contraindication for the insertion of the device shown in the image below?,C,0,Match Log: C. ,none
117,118,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/118.jpg,"A 49-year-old man has used chewing tobacco and snuff for many years. During a visit to his dentist, the above a lesion is seen on the hard palate. It cannot be removed by scraping. One of the following is the most likely diagnosis?",Aphthous ulcer,Oral thrush,Leukoplakia,Pyogenic granuloma,C,PATHOLOGY,Female,Kenya,MCQ,"A 49-year-old man has used chewing tobacco and snuff for many years. During a visit to his dentist, the above a lesion is seen on the hard palate. It cannot be removed by scraping. One of the following is the most likely diagnosis?",C,1,Match Log: C. ,none
118,119,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/119.png,"A 27-year-old woman has had pain with cloudiness of vision in the right eye for the past 2 days. A similar episode occurred a year ago. On physical examination, there is no conjunctival redness injection. Funduscopic examination shows no retinal lesions. A slit lamp examination is shown.  Which of the following infectious agents has most likely produced these findings?",Chlamydia trachomatis,Cytomegalovirus,Herpes simplex virus,Neisseria gonorrhoeae,C,PATHOLOGY,Female,Kenya,MCQ,"A 27-year-old woman has had pain with cloudiness of vision in the right eye for the past 2 days. A similar episode occurred a year ago. On physical examination, there is no conjunctival redness injection. Funduscopic examination shows no retinal lesions. A slit lamp examination is shown.  Which of the following infectious agents has most likely produced these findings?",C,1,Match Log: C. ,none
119,120,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/120.png,An 8-year-old boy suffers an upper respiratory tract infection following which he develops abdominal pain and palpable purpura and petechiae of the limbs and trunk(see picture). His mother reports that he has passed red urine. The most likely explanation of the purpura is:,Autoimmune thrombocytopenic purpura,Cryoglobulinaemia,Disseminated intravascular coagulation,Henoch Schonlein purpura,A,PATHOLOGY,Female,Kenya,MCQ,An 8-year-old boy suffers an upper respiratory tract infection following which he develops abdominal pain and palpable purpura and petechiae of the limbs and trunk(see picture). His mother reports that he has passed red urine. The most likely explanation of the purpura is:,D,0,Match Log: D. ,none
137,138,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/138.jpg,The diagnosis for the above presentation is;,Eosinophilic oesophagitis,Pill oesophagitis,Oesophageal candidiasis,Barrett oesophagitis,C,Infectious & Derm,male,Ghana,MCQ,The diagnosis for the above presentation is;,B,0,Match Log: B. ,none
138,139,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/139.jpg,Which of the following is used in the management of the above?,Fluconazole,Betamethasone,Oesophageal dilation,Endoscopic banding,A,Infectious & Derm,male,Ghana,MCQ,Which of the following is used in the management of the above?,C,0,Match Log: C. ,none
139,140,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/140.jpg,The image below causes which of the following?,Penile cancer,Gastric cancer,Bladder cancer,Endometrial cancer,C,Infectious & Derm,male,Ghana,MCQ,The image below causes which of the following?,B,0,Match Log: B. ,none
140,141,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/141.jpg,The above typically involves the liver extraintestinally as?,Liver cirrhosis,Hepatic steatosis,Hepatic abscess,Hepatocellular cancer,C,Infectious & Derm,male,Ghana,MCQ,The above typically involves the liver extraintestinally as?,B,0,Match Log: B. ,none
141,142,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/142.jpg,The following are not used in the management of the above except?,Tetracycline,Ceftriazone,Amoxicillin,Paromomycin,D,Infectious & Derm,male,Ghana,MCQ,The following are not used in the management of the above except?,D,1,Match Log: D. ,none
142,143,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/143.jpg,A PLHIV presents to your consulting room with a nodular lesion shown in the image. What is the likely diagnosis?,Impetigo,Herpes simplex virus,Kapaso Sarcoma,Milaria,C,Infectious & Derm,male,Ghana,MCQ,A PLHIV presents to your consulting room with a nodular lesion shown in the image. What is the likely diagnosis?,C,1,Match Log: C. ,none
143,144,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/144.jpg,A PLHIV presents to your consulting room with a nodular lesion shown in the image. The following are possible options for the management of the above except?,Doxorubicin,Bleomycin,Radiation therapy,Ethambutol,D,Infectious & Derm,male,Ghana,MCQ,A PLHIV presents to your consulting room with a nodular lesion shown in the image. The following are possible options for the management of the above except?,D,1,Match Log: D. ,none
144,145,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/145.jpg,A PLHIV presents to your consulting room with a nodular lesion shown in the image. Which WHO clinical staging of HIV will this patient belong to?,WHO STAGE 1,WHO STAGE 3,WHO STAGE 5,WHO STAGE 4,D,Infectious & Derm,male,Ghana,MCQ,A PLHIV presents to your consulting room with a nodular lesion shown in the image. Which WHO clinical staging of HIV will this patient belong to?,B,0,Match Log: B. ,none
145,146,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/146.jpg,"A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes. Which organism is the likely cause of the above presentation?",Strept. Pneumonia,Staph aureus,Strept agalactie,Neisseria meningitidis,D,Infectious & Derm,male,Ghana,MCQ,"A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes. Which organism is the likely cause of the above presentation?",D,1,Match Log: D. ,none
146,147,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/147.jpg,"A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes. The following is likely the pattern of presentation on CSF analysis except?",White blood cells elevated,Proteins elevated,Amylase reduced,Opening pressure may be normal,C,Infectious & Derm,male,Ghana,MCQ,"A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes. The following is likely the pattern of presentation on CSF analysis except?",C,1,Match Log: C. ,none
147,148,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/148.jpg,"A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes The following are used in the management of the above except?",Artemeter Lumefantrine,Ceftriazone,Vancomycin,Cefotaxime,A,Infectious & Derm,male,Ghana,MCQ,"A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes The following are used in the management of the above except?",A,1,Match Log: A. ,none
148,149,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/149.jpg,"Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy that showed the following; A lumbar puncture was done despite the above and the opening pressure was highly elevatedWhat is the likely diagnosis of the above presentation?",Bacterial meningitis,Cerebral Toxoplasmosis,Cryptococcal meningitis,Epilepsy,C,Infectious & Derm,male,Ghana,MCQ,"Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy that showed the following; A lumbar puncture was done despite the above and the opening pressure was highly elevatedWhat is the likely diagnosis of the above presentation?",C,1,Match Log: C. ,none
149,150,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/150.jpg,"Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. Which of the following will be a feature on CSF analysis?",WBC elevated,Glucose elevated,Protein elevated,Indian ink showing yeast growth,D,Infectious & Derm,male,Ghana,MCQ,"Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. Which of the following will be a feature on CSF analysis?",A,0,Match Log: A. ,none
150,151,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/153.jpg,"Mr Armah had kidney transplant about a month ago on account of ESRD.    He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. The following is used in the management of the above?",Amphotericin,Rifampin,Rifapentin,Dolutegravir,A,Infectious & Derm,male,Ghana,MCQ,"Mr Armah had kidney transplant about a month ago on account of ESRD.    He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. The following is used in the management of the above?",B,0,Match Log: B. ,none
151,152,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/153.jpg,"Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. The following is not used to confirm the diagnosis of Cryptococcal meningitis?",Serum Cryptococcal antigen,CSF Cryptococcal antigen,Lumbar puncture,Amsastigote on biopsy,D,Infectious & Derm,male,Ghana,MCQ,"Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. The following is not used to confirm the diagnosis of Cryptococcal meningitis?",A,0,Match Log: A. ,none
157,158,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/158.jpg,"The picture shows the trunk of a 7 year old who experiences these lesions following bouts of respiratory tract infections. The rashes are often preceded by a large scaly patch , followed by tiny pruritic papules. The diagnosis is:",Pityriasis Versicolor,Pityriasis Alba,Pityriasis Rosea,Tinea Corporis,C,Infectious & Derm,male,Ghana,MCQ,"The picture shows the trunk of a 7 year old who experiences these lesions following bouts of respiratory tract infections. The rashes are often preceded by a large scaly patch , followed by tiny pruritic papules. The diagnosis is:",B,0,Match Log: B. ,none
158,159,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/160.jpg,"The picture shows the trunk of a 7 year old who experiences these lesions following bouts of respiratory tract infections. The rashes are often preceded by a large scaly patch , followed by tiny pruritic papules. Treatment of the condition involves all of the following except:",Psoralen,Moisturizing creams,Topical Steroids,Oral antihistamines,A,Infectious & Derm,male,Ghana,MCQ,"The picture shows the trunk of a 7 year old who experiences these lesions following bouts of respiratory tract infections. The rashes are often preceded by a large scaly patch , followed by tiny pruritic papules. Treatment of the condition involves all of the following except:",A,1,Match Log: A. ,none
159,160,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/160.jpg,"A middle- aged male fisherman reports with a protracted history of pruritus with scaly and peeling overhis knuckles, knees and elbows . He also experiences joint pain and stiffness over these affected joints,which he thought were as a result of his job. The consultant however thinks otherwise, following careful examination.   The picture of his hands depicts,",Mechanics hands,Lichen Planus,Lichen Simplex Chrnoidcus,Discoid Lupus Erythematosus,A,Infectious & Derm,male,Ghana,MCQ,"A middle- aged male fisherman reports with a protracted history of pruritus with scaly and peeling overhis knuckles, knees and elbows . He also experiences joint pain and stiffness over these affected joints,which he thought were as a result of his job. The consultant however thinks otherwise, following careful examination.   The picture of his hands depicts,",C,0,Match Log: C. ,none
160,161,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/162.jpg,"A middle- aged male fisherman reports with a protracted history of pruritus with scaly and peeling overhis knuckles, knees and elbows . He also experiences joint pain and stiffness over these affected joints,which he thought were as a result of his job. For the diagnosis, the histologic pattern noted following skin biopsy is:",Spindle-shaped fibers,Interface and peri-adnexal dermatitis and follicular plugging with atrophy.,"Hyperkeratosis, focal spongiosis and acnathosis.",Microabscesses of Munroe,D,Infectious & Derm,male,Ghana,MCQ,"A middle- aged male fisherman reports with a protracted history of pruritus with scaly and peeling overhis knuckles, knees and elbows . He also experiences joint pain and stiffness over these affected joints,which he thought were as a result of his job. For the diagnosis, the histologic pattern noted following skin biopsy is:",B,0,Match Log: B. ,none
161,162,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/162.jpg,The skin condition shown is mostly associated with the following conditions,leprosy,buruli ulcer,Graves Disease,Mycosis fungoides,C,Infectious & Derm,male,Ghana,MCQ,The skin condition shown is mostly associated with the following conditions,A,0,Match Log: A. ,none
162,163,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/164.jpg,Treatment for the skin condition shown involves the following except,Calcinurein Inhibitors,Camouflage Make-up,Thin dermo-epidermal grafts,Benzoyl Peroxide,D,Infectious & Derm,male,Ghana,MCQ,Treatment for the skin condition shown involves the following except,D,1,Match Log: D. ,none
163,164,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/164.jpg,Which of the following is the most likely diagnosis for the above?,Nodulo-cystic Acne,Angiofibromas,Neurofibromatosis,Hidradenitis Supparativa,D,Infectious & Derm,male,Ghana,MCQ,Which of the following is the most likely diagnosis for the above?,C,0,Match Log: C. ,none
164,165,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/166.jpg,The most likely complication of this condition is?,Pilonidal Cyst,Renal Cell Carcinoma,Breast Cancer,Nodular Fascitis,A,Infectious & Derm,male,Ghana,MCQ,The most likely complication of this condition is?,A,1,Match Log: A. ,none
165,166,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/166.jpg,Risk factors for the development of these lesions include all but the following,Puberty,Intake of fatty or oily foods,Hormonal Imbalances,Allergies,D,Infectious & Derm,male,Ghana,MCQ,Risk factors for the development of these lesions include all but the following,B,0,Match Log: B. ,none
166,167,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/168.jpg,The recommended treatment for nodulocystic acne,Phototherapy,Jak-2Kinase inhibitors,Topical Steroids,Oral Isotretinoin,D,Infectious & Derm,male,Ghana,MCQ,The recommended treatment for nodulocystic acne,D,1,Match Log: D. ,none
167,168,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/168.jpg,Which of the following statements is true about the diagnosis above?,This is as a result of infection with Treponema Pertenue,This condition is only found in children from low to middle income countries,TheMCV-1 type of this disease is found in people living with HIV,Henderson Patterson bodies are seen on histological examination.,D,Infectious & Derm,male,Ghana,MCQ,Which of the following statements is true about the diagnosis above?,D,1,Match Log: D. ,none
168,169,/fs/ess/PAS2836/owos/experiments/afrimedqa-vlmeval/lmudata/images/afrimedqa/170.jpg,The most likely diagnosis therefore is:,Neurofibromatosis type 1,Tuberous Sclerosis,Nodulocystic acne,Molluscum Contagiosuum,D,Infectious & Derm,male,Ghana,MCQ,The most likely diagnosis therefore is:,D,1,Match Log: D. ,none
