sample_id	image_path	question	A	B	C	D	answer	specialty	gender	country	question_type
117	images/117.jpg	Which of the following is an absolute contraindication for the insertion of the device shown in the image below?	Menstruation	PID	Immediately after delivery	Ruptured condom during intercourse	B	OBSTETRICS AND GYNAECOLOGY	Female	Kenya	MCQ
118	images/118.jpg	A 49-year-old man has used chewing tobacco and snuff for many years. During a visit to his dentist, the above a lesion is seen on the hard palate. It cannot be removed by scraping. One of the following is the most likely diagnosis?	Aphthous ulcer	Oral thrush	Leukoplakia	Pyogenic granuloma	C	PATHOLOGY	Female	Kenya	MCQ
119	images/119.png	A 27-year-old woman has had pain with cloudiness of vision in the right eye for the past 2 days. A similar episode occurred a year ago. On physical examination, there is no conjunctival redness injection. Funduscopic examination shows no retinal lesions. A slit lamp examination is shown.  Which of the following infectious agents has most likely produced these findings?	Chlamydia trachomatis	Cytomegalovirus	Herpes simplex virus	Neisseria gonorrhoeae	C	PATHOLOGY	Female	Kenya	MCQ
120	images/120.png	An 8-year-old boy suffers an upper respiratory tract infection following which he develops abdominal pain and palpable purpura and petechiae of the limbs and trunk(see picture). His mother reports that he has passed red urine. The most likely explanation of the purpura is:	Autoimmune thrombocytopenic purpura	Cryoglobulinaemia	Disseminated intravascular coagulation	Henoch Schonlein purpura	A	PATHOLOGY	Female	Kenya	MCQ
121	images/121.png	A 74-year-old woman slipped while mopping the kitchen floor, fell, and sustained a hip fracture. The hip fracture was treated with open reduction and internal fixation (ORIF). What is this patient's diagnosis?					Osteoporosis	PATHOLOGY	Female	Kenya	SAQ
122	images/122.png	A 74-year-old woman slipped while mopping the kitchen floor, fell, and sustained a hip fracture. The hip fracture was treated with open reduction and internal fixation (ORIF). Name 2 risk factors for this diagnosis.					Aging, menopause, long term steroid use, female gender, low estrogen or testosterone, hyperthyroidism and hyperparathyroidism, low calcium diet, low vitamin D, sedentary lifestyle, anorexia nervosa, Kidney or liver disease, rheumatoid arthritis, certain cancers (e.g., multiple myeloma)	PATHOLOGY	Female	Kenya	LAQ
123	images/123.png	A 74-year-old woman slipped while mopping the kitchen floor, fell, and sustained a hip fracture. The hip fracture was treated with open reduction and internal fixation (ORIF). State 2 other tests to confirm diagnosis					Dual energy X-ray absorptiometry (DEXA) scan, markers of bone turnover e.g. P1NP and C-telopeptides, Calcium and Vitamin D levels, Thyroid function tests, Hormone levels (e.g., testosterone in men)	PATHOLOGY	Female	Kenya	LAQ
124	images/124.png	A 74-year-old woman slipped while mopping the kitchen floor, fell, and sustained a hip fracture. The hip fracture was treated with open reduction and internal fixation (ORIF). Explain the pathophysiologic classification of oedema					Increased hydrostatic pressure (heart failure, venous blockage) Reduced oncotic pressure (hypoalbuminemia) Inflammation with increased capillary leakage Lymphatic obstruction Water retention (sodium and water imbalances)	PATHOLOGY	Female	Kenya	LAQ
125	images/125.png	Name the cell shown.					Hyper-lobulated neutrophil.	PATHOLOGY	Female	Kenya	SAQ
126	images/126.jpg	State 2 conditions in which one may see the above cell					Seen in myelodysplasia, megaloblastic conditions	PATHOLOGY	Female	Kenya	SAQ
127	images/127.jpg	Name the cell shown by the arrows.					This is a reticulocyte or polychromatic red cell	PATHOLOGY	Female	Kenya	SAQ
128	images/128.jpg	State two conditions in which the cell number is increased in the peripheral blood film					Seen in any regenerative marrow e.g. recovery from deficiency anaemia, hemolytic disease	PATHOLOGY	Female	Kenya	SAQ
129	images/129.jpg	Name the clinical finding.					Jaundice, scleral icterus	PATHOLOGY	Female	Kenya	SAQ
130	images/130.jpg	State two laboratory investigations you would order and their expected findings.					Bilirubin, LFT, hemolytic screen all acceptable	PATHOLOGY	Female	Kenya	SAQ
131	images/131.jpg	List 2 possible causes if the patient is 18 years old.					(Physiological (Pubertal) , obesity, medication, underlying hormonal causes, Klinefelter's)	PATHOLOGY	Female	Kenya	SAQ
132	images/132.png	List 2 possible causes if the patient is 65 years old.					(Andropause, obesity, medication, hormone producing tumors, kidney failure, etc)	PATHOLOGY	Female	Kenya	SAQ
133	images/133.png	Mr Daniel had been having recurrent episodes of headache that does not respond to over-the-counter analgesics. He was recently diagnosed with HIV. Below is the head CT scan image. Patient is started on the anti retroviral medications and treatment for what is seen on the head CT scan concurrently. Patient's symptoms starts worsening with onset of worsening cough productive of sputum. What phenomenon explains the worsening of patient's presentation and symptoms?					Immune reconstitution inflammatory syndrome)	Infectious & Derm	male	Ghana	SAQ
134	images/134.png	Ms Lily reports to your consulting room with the complain of papular rashes predominantly on the hands in the inter-digital spaces. Below is the image of the organism known to cause the rash.  Mention one oral medication and topical drug that could be prescribed for Ms Lily.					Permithrin cream, Ivermectin	Infectious & Derm	male	Ghana	SAQ
135	images/135.jpg	Identify the image below and state one major symptom and management.					 Schistosoma hematobium Hematuria Praziqunatel	Infectious & Derm	male	Ghana	SAQ
136	images/136.jpg	Mad Juliana was managed for Pulmonary Tuberculosis about six (6) months ago. She reports to your consulting room with a week history of hemoptysis with peripheral eosinophilia above 1000. Chest imaging was done and the result is shown below. What is your likely diagnosis?.					Aspergillosis	Infectious & Derm	male	Ghana	SAQ
137	images/137.png	Mr Eric presents with the lesion shown in the image given.  He had similar painless genital lesion about 2 months ago. Patient penicillin based medications. State one alternative drug that could be used in the management of the above?					Doxycycline or tetracycline	Infectious & Derm	male	Ghana	SAQ
138	images/138.jpg	The diagnosis for the above presentation is;	Eosinophilic oesophagitis	Pill oesophagitis	Oesophageal candidiasis	Barrett oesophagitis	C	Infectious & Derm	male	Ghana	MCQ
139	images/139.jpg	Which of the following is used in the management of the above?	Fluconazole	Betamethasone	Oesophageal dilation	Endoscopic banding	A	Infectious & Derm	male	Ghana	MCQ
140	images/140.jpg	The image below causes which of the following?	Penile cancer	Gastric cancer	Bladder cancer	Endometrial cancer	C	Infectious & Derm	male	Ghana	MCQ
141	images/141.jpg	The above typically involves the liver extraintestinally as?	Liver cirrhosis	Hepatic steatosis	Hepatic abscess	Hepatocellular cancer	C	Infectious & Derm	male	Ghana	MCQ
142	images/142.jpg	The following are not used in the management of the above except?	Tetracycline	Ceftriazone	Amoxicillin	Paromomycin	D	Infectious & Derm	male	Ghana	MCQ
143	images/143.jpg	A PLHIV presents to your consulting room with a nodular lesion shown in the image. What is the likely diagnosis?	Impetigo	Herpes simplex virus	Kapaso Sarcoma	Milaria	C	Infectious & Derm	male	Ghana	MCQ
144	images/144.jpg	A PLHIV presents to your consulting room with a nodular lesion shown in the image. The following are possible options for the management of the above except?	Doxorubicin	Bleomycin	Radiation therapy	Ethambutol	D	Infectious & Derm	male	Ghana	MCQ
145	images/145.jpg	A PLHIV presents to your consulting room with a nodular lesion shown in the image. Which WHO clinical staging of HIV will this patient belong to?	WHO STAGE 1	WHO STAGE 3	WHO STAGE 5	WHO STAGE 4	D	Infectious & Derm	male	Ghana	MCQ
146	images/146.jpg	A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes. Which organism is the likely cause of the above presentation?	Strept. Pneumonia	Staph aureus	Strept agalactie	Neisseria meningitidis	D	Infectious & Derm	male	Ghana	MCQ
147	images/147.jpg	A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes. The following is likely the pattern of presentation on CSF analysis except?	White blood cells elevated	Proteins elevated	Amylase reduced	Opening pressure may be normal	C	Infectious & Derm	male	Ghana	MCQ
148	images/148.jpg	A 36 year old reports with 3 day history of headache,fever and neck pain. He had an episode of seizure so was rushed to the emergency room. Examination confirmed neck stiffness and patient had the following skin changes The following are used in the management of the above except?	Artemeter Lumefantrine	Ceftriazone	Vancomycin	Cefotaxime	A	Infectious & Derm	male	Ghana	MCQ
149	images/149.jpg	Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy that showed the following; A lumbar puncture was done despite the above and the opening pressure was highly elevatedWhat is the likely diagnosis of the above presentation?	Bacterial meningitis	Cerebral Toxoplasmosis	Cryptococcal meningitis	Epilepsy	C	Infectious & Derm	male	Ghana	MCQ
150	images/150.jpg	Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. Which of the following will be a feature on CSF analysis?	WBC elevated	Glucose elevated	Protein elevated	Indian ink showing yeast growth	D	Infectious & Derm	male	Ghana	MCQ
151	images/153.jpg	Mr Armah had kidney transplant about a month ago on account of ESRD.    He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. The following is used in the management of the above?	Amphotericin	Rifampin	Rifapentin	Dolutegravir	A	Infectious & Derm	male	Ghana	MCQ
152	images/153.jpg	Mr Armah had kidney transplant about a month ago on account of ESRD. He reports to the emergency ward status epileptics which was preceded by complain of severe headache. His BP on presentation was 90/80mmgh, Pulse- 59bpm. He did a fundoscopy. The following is not used to confirm the diagnosis of Cryptococcal meningitis?	Serum Cryptococcal antigen	CSF Cryptococcal antigen	Lumbar puncture	Amsastigote on biopsy	D	Infectious & Derm	male	Ghana	MCQ
153	images/153.jpg	The patient above presents with multiple nodular lesions of varying sizes developing over time. His older brother and paternal uncle have a similar presentation. The patient is likely to have  Answer: Neurofibromatosis Type 1					Neurofibromatosis Type 1	Infectious & Derm	male	Ghana	SAQ
154	images/154.jpg	A young man came to clinic with complaints of various cutaneous lesions which appeared in childhood, but have recently increased in number. In addition to these, he has a Seizure Disorder for which he is well controlled on medication. The consultant upon thorough examination described that he had multiple facial angiofibromas. He also had a characteristic lesion on his back shown in the picture above, which is a.      Answer:  Shagreen Patch					Shagreen Patch	Infectious & Derm	male	Ghana	SAQ
155	images/155.jpg	A middle-aged man presents to the ER in severe pain with numerous nodular outgrowths over bony prominences. He has a history of Alcohol Misuse Disorder and has been in Rehab severally. Lab assessment revealed a markedly elevated serum Uric Acid Level. He was started on Colchicine and Diclofenac for relief. The picture above shows Answer: Tophaceous Gout					Tophaceous Gout	Infectious & Derm	male	Ghana	SAQ
156	images/156.jpg	A young female student reports to clinic with a recurrent history of pruritic scaly lesions often noted over her arms within a 6 year period. She had tried several topical oral and antifungal medications which have not yielded any results. She has a contest coming up and is quite worried about how her skin looks. Incidentally, she tested Positive for Hepatitis C Infection . Above, is a picture of the lesions, likely to be.        Answer: Lichen Planus					Lichen Planus	Infectious & Derm	male	Ghana	SAQ
157	images/157.jpg	A young female with Lupus presents with frequent patchy areas of non-scarring hair loss over the past two years. Hair growth is often triggered by topical steroid treatment. From the picture above what is the diagnosis?.....................................................    Answer:  Alopecia Areata specifically Ophiasis					Alopecia Areata specifically Ophiasis	Infectious & Derm	male	Ghana	SAQ
158	images/158.jpg	The picture shows the trunk of a 7 year old who experiences these lesions following bouts of respiratory tract infections. The rashes are often preceded by a large scaly patch , followed by tiny pruritic papules. The diagnosis is:	Pityriasis Versicolor	Pityriasis Alba	Pityriasis Rosea	Tinea Corporis	C	Infectious & Derm	male	Ghana	MCQ
159	images/160.jpg	The picture shows the trunk of a 7 year old who experiences these lesions following bouts of respiratory tract infections. The rashes are often preceded by a large scaly patch , followed by tiny pruritic papules. Treatment of the condition involves all of the following except:	Psoralen	Moisturizing creams	Topical Steroids	Oral antihistamines	A	Infectious & Derm	male	Ghana	MCQ
160	images/160.jpg	A middle- aged male fisherman reports with a protracted history of pruritus with scaly and peeling overhis knuckles, knees and elbows . He also experiences joint pain and stiffness over these affected joints,which he thought were as a result of his job. The consultant however thinks otherwise, following careful examination.   The picture of his hands depicts,	Mechanics hands	Lichen Planus	Lichen Simplex Chrnoidcus	Discoid Lupus Erythematosus	A	Infectious & Derm	male	Ghana	MCQ
161	images/162.jpg	A middle- aged male fisherman reports with a protracted history of pruritus with scaly and peeling overhis knuckles, knees and elbows . He also experiences joint pain and stiffness over these affected joints,which he thought were as a result of his job. For the diagnosis, the histologic pattern noted following skin biopsy is:	Spindle-shaped fibers	Interface and peri-adnexal dermatitis and follicular plugging with atrophy.	Hyperkeratosis, focal spongiosis and acnathosis.	Microabscesses of Munroe	D	Infectious & Derm	male	Ghana	MCQ
162	images/162.jpg	The skin condition shown is mostly associated with the following conditions	leprosy	buruli ulcer	Graves Disease	Mycosis fungoides	C	Infectious & Derm	male	Ghana	MCQ
163	images/164.jpg	Treatment for the skin condition shown involves the following except	Calcinurein Inhibitors	Camouflage Make-up	Thin dermo-epidermal grafts	Benzoyl Peroxide	D	Infectious & Derm	male	Ghana	MCQ
164	images/164.jpg	Which of the following is the most likely diagnosis for the above?	Nodulo-cystic Acne	Angiofibromas	Neurofibromatosis	Hidradenitis Supparativa	D	Infectious & Derm	male	Ghana	MCQ
165	images/166.jpg	The most likely complication of this condition is?	Pilonidal Cyst	Renal Cell Carcinoma	Breast Cancer	Nodular Fascitis	A	Infectious & Derm	male	Ghana	MCQ
166	images/166.jpg	Risk factors for the development of these lesions include all but the following	Puberty	Intake of fatty or oily foods	Hormonal Imbalances	Allergies	D	Infectious & Derm	male	Ghana	MCQ
167	images/168.jpg	The recommended treatment for nodulocystic acne	Phototherapy	Jak-2Kinase inhibitors	Topical Steroids	Oral Isotretinoin	D	Infectious & Derm	male	Ghana	MCQ
168	images/168.jpg	Which of the following statements is true about the diagnosis above?	This is as a result of infection with Treponema Pertenue	This condition is only found in children from low to middle income countries	TheMCV-1 type of this disease is found in people living with HIV	Henderson Patterson bodies are seen on histological examination.	D	Infectious & Derm	male	Ghana	MCQ
169	images/170.jpg	The most likely diagnosis therefore is:	Neurofibromatosis type 1	Tuberous Sclerosis	Nodulocystic acne	Molluscum Contagiosuum	D	Infectious & Derm	male	Ghana	MCQ
170	images/170.jpg	The device shown above is a.    Answer: Punch Biopsy Needle					Punch Biopsy Needle	Infectious & Derm	male	Ghana	SAQ
171	images/171.jpg	The device shown above is a.       Answer: Dermatoscope					Dermatoscope	Infectious & Derm	male	Ghana	SAQ
172	images/172.jpg	This patient has Psoriasis. The feature shown above is  Answer:   Nail-Pitting					 Nail-Pitting	Infectious & Derm	male	Ghana	SAQ
173	images/173.jpg	Identify the most likely cutaneous manifestation in this patient with AIDS  Answer: Kaposis Sarcoma					Kaposi’s Sarcoma	Infectious & Derm	male	Ghana	SAQ
174	images/174.jpg	The diagnosis for the picture above is    Answer:  Seborrheic Dermatitis					Seborrheic Dermatitis	Infectious & Derm	male	Ghana	SAQ
175	images/175.jpg	He organism implicated in this condition is   Answer:  Malassezia Furfur					 Malassezia Furfu	Infectious & Derm	male	Ghana	SAQ
176	images/176.jpg	A 35-year-old Caucasian woman comes to the Emergency Department (ED) for review. She is concerned about a suspicious mole on her leg and has recently returned from a six-month working holiday in Morrocco. On further questioning, it transpires that she has had extensive sun exposure and has had three moles removed over the past five years. On examination, she is pale-skinned with ginger hair.                                                    The mole on her left calf is shown below:  Which of the following is the most appropriate intervention?	Cryotherapy	Excision biopsy	Loop removal	Punch Biopsy	B	Infectious & Derm	male	Ghana	MCQ
177	images/177.png	i. Identify the instrument shown ii. What is the instrument used for?                                                Answer:   i. Shakir tape/MUAC tape ii. Measurement of the mid upper arm circumferenc					i. Shakir tape/MUAC tape  ii. Measurement of the mid upper arm circumference	PAEDIATRICS	male	Ghana	LAQ
178	images/178.png	i.  Identify the equipment shown  ii.   List 4 indications for its use.            Answer:  i. Silicone 2-way urethral catheter ii. Indications :  Collection of urine samples for investigations Used in diagnostic procedures such as MCUG To monitor urine output To relieve acute urine retention  Bladder irrigation Used for rectal wash-outs					Silicone 2-way urethral catheter  Indications :   Collection of urine samples for investigations  Used in diagnostic procedures such as MCUG  To monitor urine output  To relieve acute urine retention   Bladder irrigation  Used for rectal wash-outs	PAEDIATRICS	male	Ghana	LAQ
179	images/179.png	What sign is shown in the figure?        Answer: Double bubble sign					Double bubble sign	PAEDIATRICS	male	Ghana	SAQ
180	images/180.jpg	What's the likely diagnosis?         Answer: Duodenal atresia					Duodenal atresia	PAEDIATRICS	male	Ghana	SAQ
181	images/181.jpg	What's the most likely diagnosis?        Answer: Myelomeningocele					Myelomeningocele	PAEDIATRICS	male	Ghana	SAQ
182	images/182.jpg	Mention one preventive measure?      Answer:  Use of folic acid preconception					Use of folic acid preconception	PAEDIATRICS	male	Ghana	SAQ
183	images/183.jpg	What's the diagnosis in an African child?       Answer: Sickle cell dactylitis (hand and foot syndrome)					i. Sickle cell dactylitis (hand and foot syndrome)	PAEDIATRICS	male	Ghana	SAQ
184	images/184.jpg	State the treatment option.  Answer:  Hydration .Pain medication. Hydroxyurea for subsequent complications					Hydration .Pain medication. Hydroxyurea for subsequent complications	PAEDIATRICS	male	Ghana	SAQ
185	images/185.jpg	A mother brought is 3 year old female to the outpatient department and complains that her child looks different from other children, a karyotyping was done and the results is shown below, What's the likely diagnosis?	Patau syndrome	Edward syndrome	Down syndrome	Turners syndrome	C	PAEDIATRICS	male	Ghana	MCQ
186	images/186.jpg	What is the name of this condition?	Syndactyly	Clinodactyly	Symbrachydactyly	Polydactyly	D	PAEDIATRICS	male	Ghana	MCQ
187	images/187.jpg	A 4 year old male presented with difficulty in breathing and cyanosis with digital clubbing, the X ray below was requested,what's the likely diagnosis	Atrial septal defect	Ventricular septal defect	Patent ductus arteriosus	Tetralogy of fallot	D	PAEDIATRICS	male	Ghana	MCQ
188	images/188.jpg	Which of the following viruses is implicated in this condition	Corona virus	Epstein-Barr virus	Rota virus	Cytomegalovirus	B	PAEDIATRICS	male	Ghana	MCQ
189	images/189.png	Regarding the picture below which of the following is a false statement?	Down syndrome is a risk factor	Obstruction to cerebral blood flow can be a basic problem	It can cause intellectual problems	Increased production of CSF can be a basic problem	A	PAEDIATRICS	male	Ghana	MCQ
190	images/190.jpg	This baby was delivered to a mother with gestational diabetes, which of the following is not a complication	Hypoglycemia	Birth injuries	Congenital anomalies	Hypercalcemia	D	PAEDIATRICS	male	Ghana	MCQ
191	images/191.jpg	A 4 year old male was brought to the emergency with complains of recurrent upper respiratory tract infection, a chest X ray was requested, which of the following is not likely to be a sign on examination	Tachypnoea	Tachycardia	Splenomegaly	Heart murmur	C	PAEDIATRICS	male	Ghana	MCQ
192	images/192.png	Which of the following is not part of the stages of the sign shown	Increased fluctauncy of the nail bed	Increased angle between the nail and the nail bed	Increased curvature of the nail	Expansion of the terminal phalanx (drum stick appearance)	B	PAEDIATRICS	male	Ghana	MCQ
193	images/193.jpg	Which of the following statement regarding this device is true.	It is a long acting ‚ adrenergic receptor agonist	Can be used easily in children below 5 years	It is recommended as a daily dose	It is used during acute exacerbations	D	PAEDIATRICS	male	Ghana	MCQ
194	images/194.jpg	Which of the following is not a complication of the device below	Dehydration	Diarrhea	Vomiting	Bronze baby syndrome	C	PAEDIATRICS	male	Ghana	MCQ
195	images/195.png	What is this condition called	Gastroschisis	Omphalitis	Prune belly syndrome	Omphalocele	C	PAEDIATRICS	male	Ghana	MCQ
196	images/196.jpg	This 18 hours old baby was brought to the emergency room with yellowish discolration of eyes and skin which was seen soon after birth,which of the following is not a likley cause	Rhesus incompatibility	ABO incompatibility	Pyurvate kinase deficiency	Sickle cell anemia	D	PAEDIATRICS	male	Ghana	MCQ
197	images/197.jpg	The picture below shows the head of a 2 days old baby with pallor, on examination child was noted to be in shock with obvious head swelling which was diffuse and boggy, what is the likely diagnosis ?	Caput succedaneum	Cephalhaematoma	Chignon	Subgaleal bleed	D	PAEDIATRICS	male	Ghana	MCQ
198	images/198.jpg	This 7 years old female presented with early morning facial puffiness for 2 weeks, there was a prior history of sore throat which was not treated, on examination there was facial fullness, urine protein of 2+, hypertension and hematuria, whatâ€™s the likely diagnosis	Acute kidney injury	Chronic kidney injury	Nephrotic syndrome	Post streptococcal glomerulonephritis	D	PAEDIATRICS	male	Ghana	MCQ
199	images/199.jpg	One week old baby being managed in the NICU, was noted to be febrile, irritable, had abdominal distension and vomiting, an abdominal x ray was requested ,what is the likely diagnosis	Necrotising enterocolitis	Volvulus	Milk curd syndrome	ischemic bwel syndrome	A	PAEDIATRICS	male	Ghana	MCQ
200	images/200.jpg	Which part of the lungs is most commonly affected in primary tuberculosis?    Answer:   Lower part of the upper lobe or upper part of the lower lobe, usually near the pleura.					 Lower part of the upper lobe or upper part of the lower lobe, usually near the pleura.	PATHOLOGY	Female	Ghana	LAQ
201	images/201.png	What is the primary pathological mechanism leading to pipe-stem fibrosis in Schistosoma japonicum infection?         Answer:  Chronic immune response to Schistosoma eggs, leading to granulomatous inflammation and periportal fibrosis.					Chronic immune response to Schistosoma eggs, leading to granulomatous inflammation and periportal fibrosis.	PATHOLOGY	Female	Ghana	LAQ
202	images/202.png	What genetic mutation is responsible for cystic fibrosis as seen in the image, and what is its effect on chloride transport?     Answer:  Mutation in the CFTR gene leads to defective chloride ion transport, resulting in thick mucus secretions.					Mutation in the CFTR gene leads to defective chloride ion transport, resulting in thick mucus secretions.	PATHOLOGY	Female	Ghana	LAQ
203	images/203.png	What is the most common nutritional deficiency leading to the condition in the image?   Answer:  Vitamin D deficiency					Vitamin D deficiency	PATHOLOGY	Female	Ghana	SAQ
204	images/204.png	A 2-month-old infant is brought to the pediatric clinic with the lesion in the image. The lesion was present at birth and has been gradually increasing in size.  What is the most likely diagnosis, and what is the expected clinical course of this condition?       Answer:   The most likely diagnosis is a congenital hemangioma. In many cases, hemangiomas spontaneously regress over time without requiring treatment.					 The most likely diagnosis is a congenital hemangioma. In many cases, hemangiomas spontaneously regress over time without requiring treatment.	PATHOLOGY	Female	Ghana	LAQ
205	images/205.png	WHAT DOES THIS PICTURE SHOW?                          Answer: Vacuum delivery					Vacuum delivery	PATHOLOGY	Female	Ghana	SAQ
206	images/209.jpg	MENTION 4 INDICATIONS       Answer:  1) Labor is prolonged or stalled in the second stage 2) The baby's heart rate is considered non-reassuring 3) The mother can't push anymore due to exhaustion  4) maternal health condition that needs shortening of the second stage					1. Labor is prolonged or stalled in the second stage  2. The baby’s heart rate is considered “non-reassuring”  3. The mother can't push anymore due to exhaustion   4. Maternal health condition that needs shortening of the second stage	PATHOLOGY	Female	Ghana	LAQ
207	images/209.jpg	What ARE THE PRE-REQUISITES?     Answer:  1) Bladder must be emptied  2) Cervix fully dilated 3) No evidence of CPD  4) Vertex presentation and not above the station of +2 5) Membranes must be ruptured More than 34 weeks					1. Bladder must be emptied  2. Cervix fully dilated 3. No evidence of CPD  4. Vertex presentation and not above the station of +2 5. Membranes must be ruptured.  More than 34 weeks 	PATHOLOGY	Female	Ghana	LAQ
208	images/209.jpg	MENTION 5 COMPLICATIONS         Answer:  1) MATERNAL Soft tissue injuries to the vagina, cervix, perineum  Annular detachment of cervix  Traumatic postpartum hemorrhage   2) FETUS  Cephalhematoma  Intracranial hemorrhage  Subconjunctival hemorrhage  Retinal hemorrhage  Fetal asphyxia  Neonatal jaundice					1. MATERNAL – Soft tissue injuries to the vagina, cervix, perineum – Annular detachment of cervix – Traumatic postpartum hemorrhage   2. FETUS – Cephalhematoma – Intracranial hemorrhage – Subconjunctival hemorrhage – Retinal hemorrhage – Fetal asphyxia – Neonatal jaundice	PATHOLOGY	Female	Ghana	LAQ
209	images/209.jpg	What condition is shown in the picture?         Answer: Conjoint twins.					Conjoint twins.	PATHOLOGY	Female	Ghana	SAQ
210	images/213.jpg	What time of post-fertilization embryonic division can it occur?      Answer:  Division occurring after 12days post-fertilisation					Division occurring after 12days post-fertilisation	PATHOLOGY	Female	Ghana	SAQ
211	images/213.jpg	What percentage of twin pregnancies does it affect?             Answer: Affects <1% of twins.					Affects <1% of twins.	PATHOLOGY	Female	Ghana	SAQ
212	images/213.jpg	Name the different types of this condition?            Answer:  1) Thoraco-omphalopagus (joined at thorax and abdomen) 28% 2) Thoracopagus (joined at the thorax) 18.5% 3) Omphalopagus (joined at the abdomen) 10% 4) Heteropagus (parasitic twins) 10% 5) Craniopagus (joined at the level of the cranium) 6%					1. Thoraco-omphalopagus (joined at thorax and abdomen) 28% 2. Thoracopagus (joined at the thorax) 18.5% 3. Omphalopagus (joined at the abdomen) 10% 4. Heteropagus (parasitic twins) 10% 5. Craniopagus (joined at the level of the cranium) 6%	PATHOLOGY	Female	Ghana	LAQ
213	images/213.jpg	What is the position of the fetal head in picture A?         Answer:   Occipito-posterior position.					Occipito-posterior position.	PATHOLOGY	Female	Ghana	SAQ
214	images/217.jpg	What is the attitude of the fetus in picture B?           Answer:    Flexion.					Flexion.	PATHOLOGY	Female	Ghana	SAQ
215	images/217.jpg	What is the engaging diameter in picture A?        Answer:     The engaging diameter is 11.0cm.					The engaging diameter is 11.0cm.	PATHOLOGY	Female	Ghana	SAQ
216	images/217.jpg	What is the mechanism by the fetal head in A can be delivered?        Answer:  The head hits the pelvic floor (pelvic gutter), undergoes a long rotation, which results in flexion and anterior rotation of the fetal head.					The head hits the pelvic floor (pelvic gutter), undergoes a long rotation, which results in flexion and anterior rotation of the fetal head.	PATHOLOGY	Female	Ghana	LAQ
217	images/217.jpg	What is the diagnosis of the condition in pictures A?      Answer:     Abruptio placenta.					Abruptio placenta.	PATHOLOGY	Female	Ghana	SAQ
218	images/222.png	What is the diagnosis of the condition (picture B) noticed following delivery of the placenta of the baby in A?       Answer:   Retroplacental clot					Retroplacental clot.	PATHOLOGY	Female	Ghana	SAQ
219	images/222.png	What are the clinical types?       Answer:   Clinical types: 1) Revealed 2) Concealed 3) Mixed					Clinical types: Revealed Concealed Mixed	PATHOLOGY	Female	Ghana	SAQ
220	images/222.png	Name 5 causes/risk factors?            Answer:  1) Hypertension in pregnancy 2) Trauma to the abdomen 3) Artificial rupture of membranes  4) Smoking					1. Hypertension in pregnancy 2. Trauma to the abdomen 3. Artificial rupture of membranes  Smoking	PATHOLOGY	Female	Ghana	SAQ
221	images/222.png	Name 5 complications of the condition.          Answer:  1)  Postpatum haemorrhage 2) Disseminated intravascular coagulopathy 3) Fetal distress 4) Neonatal anaemia        . 5) Perinatal Mortality and maternal mortality					1. Postpatum haemorrhage 2. Disseminated intravascular coagulopathy 3. Fetal distress 4. Neonatal anaemia        . 5. Perinatal Mortality and maternal mortality	PATHOLOGY	Female	Ghana	LAQ
222	images/222.png	What is the diagnosis of the condition shown in the two (2) pictures     Answer:    Anencephaly					Anencephaly	PATHOLOGY	Female	Ghana	SAQ
223	images/226.png	How may the diagnosis be made antenatally?        Answer: 1) Elevated serum alpha feto-protein levels 2) Ultrasound features a Absent calvarium b) Minimal/absent brain tissue c) Frog eye appearance d) Polyhydramnios					1. Elevated serum alpha feto-protein levels 2. Ultrasound features  a. Absent calvarium  b. Minimal/absent brain tissue  c. Frog eye appearance  d. Polyhydramnios	PATHOLOGY	Female	Ghana	LAQ
224	images/226.png	How may it be prevented?          Answer: 1)  For women without previous history or high risk factors  400ug folic acid dly  3/12 prior to next conception 2) For women with previous history or high risk factors  5mg folic acid dly  3/12 prior to next conception					1. For women without previous history or high risk factors – 400ug folic acid dly ≈ 3/12 prior to next conception 2. For women with previous history or high risk factors – 5mg folic acid dly ≈ 3/12 prior to next conception	PATHOLOGY	Female	Ghana	LAQ
